Classes	film	nature	music	athletics	video_game	economics	war	infrastructure_transport	politics	populated_areas	architecture
accelerate	0.00250	0.09918	0.00180	0.00111	0.00157	0.01378	0.00519	0.65703	0.00502	0.00037	0.03973
accelerated	0.00234	0.03464	0.00643	0.00175	0.00180	0.06296	0.00961	0.38344	0.02078	0.00079	0.07903
accelerating	0.00231	0.65136	0.00895	0.00286	0.00153	0.03515	0.00340	0.03982	0.01706	0.00050	0.04586
acceleration	0.00053	0.01123	0.00080	0.00104	0.00240	0.00194	0.00236	0.98268	0.00029	0.00012	0.00526
accent	0.02128	0.74292	0.00154	0.00105	0.00060	0.00483	0.01217	0.03417	0.00231	0.00024	0.01020
accept	0.01317	0.05554	0.03145	0.00292	0.00390	0.09249	0.01102	0.00607	0.40288	0.00088	0.04147
acceptable	0.00459	0.34953	0.00076	0.00281	0.00125	0.00652	0.00577	0.34766	0.00427	0.00040	0.05542
acceptance	0.00529	0.43818	0.04881	0.00354	0.00096	0.01776	0.01323	0.00782	0.04756	0.00049	0.02218
accepted	0.00308	0.75975	0.00778	0.00500	0.00072	0.01877	0.00733	0.02686	0.00874	0.00057	0.05440
accepting	0.00973	0.03569	0.02929	0.00478	0.00782	0.21579	0.01104	0.00672	0.36667	0.00071	0.03436
accepts	0.00300	0.89449	0.00171	0.00260	0.00116	0.00719	0.00504	0.04599	0.00273	0.00024	0.02315
access	0.00234	0.03983	0.00105	0.00162	0.00347	0.00734	0.00566	0.85951	0.00262	0.00034	0.01354
accessed	0.00105	0.02146	0.00042	0.00074	0.00282	0.00148	0.00233	0.95063	0.00034	0.00013	0.01836
accessibility	0.00153	0.02443	0.00058	0.00132	0.00307	0.00365	0.00216	0.90856	0.00096	0.00020	0.02609
accessible	0.00127	0.03548	0.00062	0.00113	0.00253	0.00286	0.00254	0.93648	0.00073	0.00016	0.01511
accessing	0.00467	0.02520	0.00086	0.00086	0.00811	0.00758	0.00948	0.83151	0.00241	0.00032	0.00953
accession	0.00503	0.00696	0.00824	0.00099	0.00210	0.05530	0.00487	0.00104	0.83948	0.00050	0.00960
accessories	0.00402	0.00501	0.00944	0.00633	0.00531	0.14543	0.01498	0.00055	0.58691	0.00033	0.00556
accessory	0.00287	0.00108	0.00100	0.00023	0.00908	0.00356	0.00429	0.96594	0.00020	0.00011	0.00091
accident	0.00320	0.02111	0.04365	0.00373	0.00354	0.02717	0.09672	0.06821	0.03082	0.00070	0.01136
accidental	0.00463	0.90176	0.00158	0.00186	0.00098	0.00496	0.00623	0.03872	0.00205	0.00022	0.01794
accidentally	0.00191	0.02670	0.00105	0.00144	0.00248	0.00355	0.01447	0.88678	0.00139	0.00029	0.00837
accidents	0.00126	0.00953	0.00123	0.00091	0.00315	0.01548	0.02651	0.85540	0.00215	0.00021	0.00401
acclaim	0.06920	0.02149	0.18914	0.00114	0.00170	0.06913	0.00702	0.00143	0.24544	0.00091	0.00768
acclaimed	0.07255	0.03073	0.08762	0.00209	0.00220	0.07277	0.01356	0.00233	0.32112	0.00091	0.00543
accolades	0.00844	0.01369	0.05885	0.00387	0.00851	0.26450	0.00329	0.00177	0.26320	0.00053	0.01402
accommodate	0.00308	0.00258	0.00054	0.00414	0.00480	0.00198	0.00099	0.02989	0.00052	0.00032	0.92981
accommodated	0.00344	0.00187	0.00059	0.00316	0.00217	0.00242	0.00110	0.01556	0.00060	0.00028	0.94271
accommodation	0.00502	0.00258	0.00060	0.00218	0.00467	0.00594	0.00169	0.01659	0.00130	0.00023	0.90518
accommodations	0.00240	0.01825	0.00054	0.00198	0.00125	0.00337	0.00429	0.77528	0.00117	0.00044	0.12995
accompanied	0.00690	0.06371	0.17166	0.00333	0.00174	0.02690	0.06020	0.01424	0.04072	0.00119	0.00918
accompanies	0.00482	0.45778	0.00163	0.00137	0.00221	0.00383	0.01188	0.33861	0.00242	0.00021	0.00680
