Classes	film	nature	music	athletics	video_game	economics	war	infrastructure_transport	politics	populated_areas	architecture
funding	0.00565	0.01253	0.00913	0.00185	0.00269	0.58615	0.00461	0.00716	0.12524	0.00037	0.02963
fundraiser	0.00500	0.26492	0.03104	0.00708	0.00294	0.07691	0.01515	0.03094	0.06818	0.00130	0.05478
fundraising	0.00799	0.04460	0.01837	0.00251	0.00427	0.21234	0.00892	0.00425	0.21616	0.00113	0.10734
funds	0.00542	0.01255	0.00397	0.00090	0.00096	0.09804	0.00644	0.01471	0.01554	0.00049	0.64764
funeral	0.00808	0.05033	0.02511	0.00377	0.00395	0.08997	0.02128	0.00568	0.36087	0.00121	0.04821
fungal	0.00069	0.99744	0.00035	0.00207	0.00023	0.00092	0.00322	0.00233	0.00074	0.00003	0.00566
fungi	0.00070	0.99880	0.00032	0.00133	0.00016	0.00131	0.00078	0.00145	0.00034	0.00003	0.00251
fungus	0.00071	0.99891	0.00030	0.00115	0.00019	0.00096	0.00132	0.00146	0.00043	0.00003	0.00284
funk	0.00664	0.01054	0.21158	0.00151	0.00195	0.09863	0.00240	0.00049	0.27418	0.00083	0.00888
funky	0.00805	0.01668	0.04697	0.00222	0.00277	0.13217	0.00591	0.00059	0.53635	0.00102	0.01034
funnel	0.00084	0.04898	0.00062	0.00125	0.00149	0.00188	0.00288	0.95205	0.00038	0.00015	0.00974
funny	0.59182	0.02748	0.00654	0.00096	0.00066	0.00917	0.03991	0.00427	0.00906	0.00062	0.00466
fur	0.00063	0.99549	0.00043	0.00157	0.00027	0.00209	0.00157	0.00222	0.00159	0.00005	0.01028
furious	0.00658	0.05940	0.08859	0.00381	0.00380	0.04605	0.03951	0.02779	0.09623	0.00139	0.01736
furnace	0.00567	0.00422	0.00130	0.00098	0.00102	0.03214	0.00157	0.00470	0.00205	0.00033	0.93886
furnished	0.00381	0.00215	0.00060	0.00244	0.00296	0.00361	0.00161	0.01407	0.00059	0.00033	0.93954
furnishings	0.00314	0.00158	0.00063	0.00047	0.00072	0.01245	0.00090	0.00326	0.00062	0.00021	0.98372
furniture	0.00185	0.00244	0.00487	0.00162	0.00138	0.87551	0.00348	0.00453	0.01866	0.00042	0.02400
further	0.00354	0.03636	0.03222	0.00450	0.00319	0.03676	0.01323	0.09472	0.03116	0.00070	0.12010
furthermore	0.00518	0.77428	0.00327	0.00247	0.00123	0.01359	0.00770	0.04090	0.00776	0.00039	0.05237
fury	0.00459	0.07793	0.04988	0.00780	0.00207	0.00735	0.13438	0.03155	0.01064	0.00059	0.00531
fuscous	0.00075	0.99671	0.00048	0.00209	0.00009	0.00071	0.00072	0.00107	0.00058	0.00007	0.00210
fuse	0.01970	0.08851	0.04644	0.00429	0.00147	0.03457	0.05205	0.00354	0.23925	0.00122	0.00923
fused	0.00106	0.95052	0.00660	0.00197	0.00026	0.00747	0.00186	0.00112	0.01110	0.00019	0.01414
fuselage	0.00030	0.00147	0.00051	0.00035	0.00116	0.00126	0.00982	0.98480	0.00010	0.00010	0.00243
fusion	0.00767	0.01026	0.03046	0.00219	0.00473	0.08303	0.00402	0.00065	0.66286	0.00052	0.00848
future	0.00321	0.23977	0.05297	0.00788	0.00216	0.02859	0.01919	0.04144	0.03532	0.00088	0.04606
futures	0.00316	0.00573	0.00682	0.00213	0.00288	0.03518	0.01629	0.00079	0.82751	0.00061	0.01018
futuristic	0.07923	0.00915	0.00193	0.00086	0.04084	0.00117	0.01769	0.39365	0.00037	0.00018	0.00304
fx	0.55555	0.02069	0.00539	0.00165	0.00094	0.00782	0.06361	0.01064	0.00627	0.00092	0.00381
g	0.00491	0.01084	0.02934	0.00590	0.00858	0.13856	0.01091	0.00275	0.43788	0.00054	0.01679
ga	0.00548	0.03400	0.01806	0.00339	0.00114	0.02014	0.21933	0.00109	0.39157	0.00094	0.01196
gaa	0.00325	0.78595	0.01770	0.01304	0.00060	0.01022	0.00305	0.00296	0.04971	0.00013	0.00971
gable	0.00829	0.00109	0.00041	0.00099	0.00212	0.00085	0.00075	0.00328	0.00021	0.00020	0.98621
gabled	0.00445	0.00143	0.00047	0.00122	0.00164	0.00083	0.00096	0.00470	0.00023	0.00017	0.99084
gables	0.02215	0.00154	0.00055	0.00087	0.00293	0.00115	0.00072	0.00324	0.00022	0.00022	0.96706
gabon	0.00076	0.93955	0.00764	0.00759	0.00062	0.00897	0.01031	0.00150	0.03800	0.00020	0.02422
gabriel	0.00735	0.04630	0.06944	0.00329	0.00730	0.13292	0.00981	0.00872	0.24431	0.00087	0.06135
gaelic	0.00206	0.95228	0.00530	0.00327	0.00037	0.00614	0.00487	0.00652	0.00512	0.00012	0.01917
gag	0.11194	0.03530	0.01250	0.00146	0.00103	0.02448	0.09967	0.02126	0.02915	0.00090	0.01145
gail	0.00169	0.63672	0.05101	0.00420	0.00194	0.01358	0.00926	0.00358	0.07412	0.00049	0.03057
gain	0.00827	0.02014	0.01958	0.00416	0.01589	0.10656	0.00760	0.00354	0.56586	0.00054	0.01519
gained	0.00911	0.01248	0.02704	0.00276	0.00471	0.19765	0.00762	0.00211	0.48450	0.00064	0.01395
gaining	0.00675	0.01269	0.02230	0.00338	0.00745	0.20895	0.00659	0.00250	0.46082	0.00059	0.01260
gains	0.00603	0.06987	0.02209	0.00467	0.01169	0.09188	0.01089	0.00398	0.51103	0.00066	0.03521
gal	0.00329	0.01954	0.01362	0.00560	0.00201	0.02875	0.21804	0.00135	0.45032	0.00071	0.01528
gala	0.01381	0.09688	0.05114	0.00669	0.00154	0.02336	0.09686	0.00733	0.08411	0.00086	0.00733
galactic	0.00102	0.88957	0.01154	0.00352	0.00087	0.00684	0.01699	0.00333	0.04467	0.00032	0.02645
galaxy	0.00426	0.02774	0.00247	0.00110	0.00619	0.00401	0.02260	0.82006	0.00163	0.00028	0.00293
gale	0.00344	0.12892	0.04594	0.00706	0.00237	0.03065	0.06024	0.04271	0.05291	0.00135	0.01993
galicia	0.00492	0.00553	0.00692	0.00083	0.00204	0.08631	0.00563	0.00078	0.83335	0.00054	0.00755
galileo	0.00676	0.01313	0.01887	0.00504	0.00868	0.02330	0.02022	0.28474	0.02311	0.00081	0.01273
gallagher	0.00245	0.41376	0.10578	0.00435	0.00123	0.01401	0.00977	0.00827	0.03532	0.00037	0.01898
gallantry	0.00602	0.00819	0.00383	0.00093	0.00071	0.00275	0.93961	0.00383	0.01775	0.00034	0.00436
galleries	0.00929	0.02343	0.00416	0.00391	0.00187	0.06024	0.00710	0.35644	0.00931	0.00089	0.13389
gallery	0.00434	0.02801	0.00394	0.00803	0.00244	0.01919	0.00482	0.42492	0.00852	0.00088	0.18762
gallons	0.00309	0.06677	0.00089	0.00118	0.00063	0.00691	0.00856	0.45364	0.00157	0.00039	0.26149
galloway	0.00969	0.03212	0.02908	0.00364	0.00535	0.16396	0.01710	0.00634	0.35810	0.00073	0.03082
galway	0.00157	0.92146	0.00816	0.00473	0.00053	0.00775	0.00466	0.00983	0.00781	0.00018	0.01772
gamble	0.00240	0.93277	0.00349	0.00512	0.00059	0.00672	0.00242	0.03521	0.00202	0.00020	0.01547
gambling	0.00468	0.01336	0.02159	0.00404	0.01408	0.43656	0.00651	0.00672	0.19398	0.00046	0.01525
game	0.00273	0.00079	0.00095	0.00114	0.98241	0.00190	0.00033	0.00086	0.00080	0.00008	0.00197
gameplay	0.00230	0.00067	0.00095	0.00066	0.98749	0.00161	0.00034	0.00102	0.00062	0.00006	0.00187
games	0.00297	0.00065	0.00109	0.00278	0.94204	0.00431	0.00021	0.00052	0.00094	0.00009	0.00265
gaming	0.00363	0.00045	0.00114	0.00105	0.90300	0.01410	0.00026	0.00059	0.00218	0.00011	0.00346
gamma	0.00159	0.97982	0.00068	0.00263	0.00036	0.00204	0.00177	0.01447	0.00099	0.00008	0.00821
gandhi	0.00984	0.01930	0.03029	0.00304	0.00707	0.09403	0.00656	0.00370	0.59706	0.00061	0.01681
gang	0.00539	0.28888	0.11490	0.00299	0.00123	0.01955	0.02349	0.00957	0.03683	0.00083	0.01764
gangs	0.01884	0.01816	0.02102	0.00149	0.00306	0.15507	0.00845	0.00483	0.52540	0.00082	0.00814
gangster	0.09223	0.03265	0.03498	0.00227	0.00138	0.01551	0.17781	0.00404	0.07053	0.00108	0.00386
gap	0.00269	0.87555	0.00196	0.00331	0.00133	0.00747	0.00349	0.07054	0.00219	0.00019	0.02052
gaps	0.00347	0.88486	0.00096	0.00165	0.00194	0.00408	0.00686	0.04153	0.00309	0.00017	0.03189
garage	0.00328	0.00361	0.00400	0.00134	0.00084	0.03965	0.00161	0.02509	0.00266	0.00031	0.87349
garbage	0.00222	0.98395	0.00073	0.00176	0.00034	0.00179	0.00189	0.00846	0.00149	0.00008	0.01218
garc	0.01443	0.01715	0.02721	0.00289	0.00729	0.11776	0.00738	0.00453	0.57658	0.00063	0.01186
garcia	0.00531	0.17537	0.03261	0.00673	0.00482	0.06357	0.00750	0.00732	0.28252	0.00065	0.05289
garde	0.00547	0.00759	0.02942	0.00239	0.00187	0.03227	0.22894	0.01863	0.05200	0.00087	0.01647
garden	0.00280	0.19843	0.00065	0.00437	0.00102	0.00315	0.00449	0.57081	0.00161	0.00062	0.15139
gardener	0.00191	0.86143	0.01291	0.00380	0.00094	0.01810	0.01623	0.01000	0.01669	0.00033	0.02821
gardening	0.00346	0.55465	0.01663	0.00343	0.00146	0.09285	0.01237	0.03780	0.01992	0.00120	0.07796
gardens	0.00375	0.01003	0.00057	0.00523	0.00468	0.00375	0.00182	0.02784	0.00080	0.00038	0.90097
gardiner	0.00192	0.94851	0.00132	0.00315	0.00054	0.00408	0.00442	0.01759	0.00261	0.00021	0.01959
gardner	0.00108	0.40120	0.01085	0.00705	0.00124	0.01890	0.00870	0.13855	0.00648	0.00052	0.04685
gareth	0.00194	0.54051	0.05924	0.00749	0.00102	0.00340	0.02302	0.00558	0.01085	0.00023	0.00771
garfield	0.00139	0.23389	0.00337	0.00442	0.00084	0.01147	0.00825	0.34440	0.00506	0.00064	0.04319
garland	0.00562	0.05142	0.15593	0.00367	0.00239	0.06374	0.02585	0.01898	0.07218	0.00154	0.06197
garment	0.00554	0.03822	0.02611	0.00337	0.00877	0.13450	0.00886	0.00354	0.27976	0.00123	0.09814
garments	0.00322	0.00642	0.00700	0.00098	0.00177	0.69274	0.00304	0.01322	0.04271	0.00032	0.04527
garner	0.02358	0.02721	0.03036	0.00231	0.00625	0.12336	0.00679	0.00417	0.52223	0.00085	0.01554
garnered	0.02961	0.02835	0.07931	0.00222	0.00413	0.13493	0.00427	0.00274	0.42761	0.00099	0.01574
garnering	0.00917	0.00979	0.02812	0.00288	0.00726	0.22676	0.00241	0.00147	0.41808	0.00055	0.00839
garrett	0.00223	0.03856	0.01701	0.00296	0.00211	0.03349	0.00960	0.33875	0.01925	0.00071	0.05282
garrison	0.00318	0.01650	0.01565	0.00130	0.00075	0.00920	0.67831	0.00326	0.07435	0.00079	0.02305
garrisons	0.00165	0.01550	0.00688	0.00071	0.00084	0.01383	0.48948	0.00128	0.24159	0.00063	0.00759
garry	0.00254	0.43593	0.04632	0.00977	0.00122	0.00592	0.04812	0.00949	0.01390	0.00051	0.01296
gary	0.00213	0.29363	0.18397	0.00723	0.00168	0.01425	0.00895	0.00671	0.03114	0.00038	0.01268
gas	0.00324	0.00602	0.03017	0.00365	0.00746	0.56898	0.00469	0.00471	0.07290	0.00049	0.01616
gases	0.00491	0.03359	0.02857	0.00321	0.01036	0.19130	0.00589	0.00329	0.32998	0.00069	0.06780
gasoline	0.00081	0.00647	0.00080	0.00060	0.00272	0.00530	0.00654	0.96750	0.00056	0.00016	0.00673
gaston	0.00511	0.01657	0.05760	0.00527	0.00699	0.23032	0.01266	0.01609	0.19265	0.00064	0.03302
gastropod	0.00067	0.99843	0.00027	0.00094	0.00017	0.00156	0.00075	0.00201	0.00046	0.00005	0.00382
gate	0.00181	0.00841	0.00052	0.00118	0.00163	0.00287	0.00411	0.91602	0.00067	0.00024	0.07123
gates	0.00097	0.01056	0.00108	0.00109	0.00262	0.00334	0.00677	0.96307	0.00061	0.00019	0.01179
gateway	0.00064	0.00596	0.00080	0.00092	0.00148	0.00082	0.00212	0.98974	0.00020	0.00018	0.01022
gather	0.01148	0.36896	0.01062	0.00263	0.00197	0.02742	0.03211	0.03313	0.03469	0.00116	0.05966
gathered	0.01037	0.02500	0.02484	0.00141	0.00294	0.09460	0.00725	0.00217	0.50860	0.00125	0.03425
gathering	0.00713	0.04431	0.02413	0.00242	0.00740	0.10633	0.01016	0.00410	0.45411	0.00102	0.04813
gatherings	0.00605	0.04073	0.01771	0.00185	0.00479	0.08999	0.00725	0.00151	0.47084	0.00180	0.06304
gathers	0.00498	0.51415	0.03112	0.00434	0.00207	0.02479	0.01667	0.00857	0.08948	0.00113	0.04946
gauge	0.00040	0.00255	0.00082	0.00058	0.00225	0.00743	0.00261	0.98560	0.00024	0.00012	0.00176
gave	0.01374	0.04309	0.03493	0.00303	0.00499	0.11581	0.01184	0.00569	0.40628	0.00090	0.03379
gavin	0.00255	0.46519	0.12677	0.00353	0.00132	0.00895	0.01125	0.00396	0.03879	0.00034	0.01040
gay	0.01932	0.03145	0.03804	0.00343	0.00539	0.14084	0.00718	0.00543	0.49550	0.00096	0.01668
gaza	0.01353	0.01269	0.01553	0.00179	0.00478	0.07504	0.00873	0.00422	0.66718	0.00062	0.00865
gazette	0.00797	0.00905	0.01404	0.00139	0.00289	0.16274	0.00684	0.00282	0.56267	0.00059	0.00779
gazetted	0.00133	0.01614	0.00746	0.00235	0.00090	0.01060	0.30037	0.06386	0.01809	0.00031	0.03064
gb	0.00650	0.01524	0.01250	0.01646	0.00951	0.00950	0.02776	0.20958	0.01034	0.00026	0.00510
gda	0.00267	0.01746	0.01271	0.00521	0.00169	0.01318	0.36001	0.00133	0.25716	0.00062	0.02487
gdp	0.00467	0.00716	0.00815	0.00125	0.00330	0.22667	0.00253	0.00200	0.58029	0.00048	0.00797
ge	0.00264	0.00259	0.00662	0.00502	0.00964	0.34045	0.00300	0.00070	0.16794	0.00024	0.00325
gear	0.00589	0.00294	0.00147	0.00547	0.19296	0.00306	0.00319	0.17585	0.00077	0.00013	0.00938
gearbox	0.00050	0.00123	0.00059	0.00061	0.00364	0.00529	0.00245	0.98785	0.00013	0.00010	0.00161
geared	0.01355	0.03877	0.04323	0.00272	0.00214	0.05237	0.03282	0.09676	0.03441	0.00106	0.01414
gears	0.00194	0.00205	0.00115	0.00206	0.04861	0.01193	0.00599	0.56722	0.00145	0.00012	0.00666
geelong	0.00092	0.06964	0.01383	0.08082	0.00239	0.00974	0.00636	0.31619	0.00686	0.00028	0.00947
gel	0.00382	0.04958	0.01551	0.00507	0.00139	0.02053	0.25282	0.00160	0.36350	0.00106	0.01442
gelechiidae	0.00065	0.80758	0.00704	0.01113	0.00110	0.00875	0.27999	0.00109	0.07057	0.00115	0.01581
gem	0.00485	0.92940	0.00082	0.00285	0.00156	0.00180	0.00191	0.08985	0.00073	0.00014	0.01367
gemini	0.30832	0.02665	0.00766	0.00190	0.00097	0.01559	0.09288	0.01622	0.01244	0.00111	0.00550
gems	0.00544	0.73462	0.00122	0.00368	0.00262	0.00646	0.00324	0.22387	0.00181	0.00023	0.01479
gen	0.00296	0.00566	0.00646	0.00125	0.00208	0.02606	0.02575	0.00081	0.81321	0.00091	0.01005
gender	0.01771	0.02328	0.03006	0.00280	0.00716	0.10716	0.00667	0.00669	0.55344	0.00084	0.01239
gene	0.00090	0.93376	0.00443	0.00974	0.00044	0.00537	0.08358	0.00253	0.03278	0.00037	0.02018
genealogical	0.00323	0.01773	0.00762	0.00087	0.00229	0.29477	0.00399	0.00079	0.24021	0.00222	0.07028
genealogy	0.00376	0.01709	0.01586	0.00227	0.00856	0.41524	0.00551	0.00266	0.22735	0.00075	0.03428
genera	0.00059	0.99914	0.00024	0.00096	0.00012	0.00121	0.00045	0.00125	0.00027	0.00004	0.00159
general	0.00507	0.00446	0.00541	0.00087	0.00177	0.03407	0.01064	0.00097	0.87683	0.00042	0.00793
generalized	0.00651	0.01096	0.02284	0.00396	0.00673	0.07021	0.01388	0.00273	0.57391	0.00054	0.01420
generally	0.00342	0.96160	0.00079	0.00162	0.00045	0.00297	0.00243	0.02030	0.00137	0.00014	0.01249
generals	0.00351	0.01638	0.00945	0.00123	0.00104	0.00838	0.41845	0.00190	0.19797	0.00049	0.01105
generate	0.00305	0.01556	0.00119	0.00213	0.00463	0.03108	0.00755	0.82567	0.00565	0.00028	0.01584
generated	0.00288	0.01064	0.00148	0.00189	0.00605	0.03628	0.00639	0.84252	0.00373	0.00021	0.01018
generates	0.00226	0.19181	0.01619	0.00650	0.00284	0.02100	0.11772	0.00128	0.39904	0.00186	0.02820
generating	0.00310	0.01106	0.01038	0.00137	0.00255	0.69108	0.00322	0.01431	0.05091	0.00051	0.04499
generation	0.00573	0.04538	0.08866	0.00383	0.00515	0.07380	0.01774	0.02172	0.14962	0.00128	0.05525
generations	0.00709	0.15684	0.02890	0.00303	0.00352	0.10203	0.00828	0.00343	0.26654	0.00162	0.09048
generator	0.00154	0.00497	0.00079	0.00102	0.00254	0.00601	0.00445	0.95904	0.00078	0.00016	0.02003
generators	0.00151	0.00655	0.00087	0.00148	0.00150	0.01485	0.00449	0.89158	0.00130	0.00021	0.05409
generic	0.00066	0.99796	0.00043	0.00120	0.00024	0.00106	0.00161	0.00242	0.00052	0.00003	0.00409
generosity	0.00792	0.04620	0.03442	0.00452	0.00486	0.15092	0.01142	0.00472	0.28814	0.00095	0.07020
generous	0.00720	0.04507	0.02201	0.00243	0.00420	0.14640	0.00955	0.00306	0.41885	0.00110	0.05307
genes	0.00096	0.99761	0.00028	0.00143	0.00023	0.00140	0.00177	0.00295	0.00071	0.00005	0.00445
genesis	0.00629	0.06156	0.12342	0.00457	0.00520	0.07150	0.01984	0.02127	0.13729	0.00131	0.03500
genetic	0.00135	0.99753	0.00030	0.00109	0.00024	0.00166	0.00097	0.00430	0.00057	0.00006	0.00481
genetically	0.00104	0.99833	0.00025	0.00095	0.00020	0.00125	0.00088	0.00322	0.00041	0.00005	0.00303
genetics	0.00303	0.00765	0.01561	0.00583	0.01420	0.17690	0.00221	0.00092	0.36885	0.00034	0.00984
geneva	0.01095	0.02380	0.03458	0.00374	0.00520	0.21422	0.01120	0.00614	0.35292	0.00063	0.02691
genius	0.00926	0.05634	0.05856	0.00401	0.00713	0.10442	0.01208	0.00493	0.37411	0.00090	0.03900
genoa	0.00184	0.32592	0.00386	0.00490	0.00106	0.02622	0.00860	0.17554	0.00905	0.00105	0.14989
genocide	0.00994	0.02294	0.01694	0.00167	0.00320	0.02579	0.01468	0.00209	0.68719	0.00092	0.00797
genome	0.00073	0.99528	0.00033	0.00186	0.00022	0.00138	0.00368	0.00248	0.00156	0.00004	0.00922
genre	0.57011	0.01329	0.02225	0.00146	0.00282	0.01537	0.01442	0.00375	0.01172	0.00081	0.00393
genres	0.02442	0.01396	0.08959	0.00157	0.00587	0.17152	0.00273	0.00200	0.34520	0.00102	0.00824
gentle	0.00280	0.98413	0.00117	0.00203	0.00028	0.00153	0.00265	0.00552	0.00145	0.00008	0.00809
gentleman	0.00293	0.20026	0.06794	0.00605	0.00253	0.03800	0.02691	0.02395	0.06559	0.00139	0.04532
gentlemen	0.00172	0.34892	0.09297	0.01588	0.00070	0.00752	0.01296	0.00984	0.00590	0.00027	0.01715
gently	0.00230	0.98870	0.00052	0.00146	0.00027	0.00179	0.00140	0.00655	0.00106	0.00008	0.01108
gentry	0.00668	0.06705	0.02300	0.00281	0.00349	0.06535	0.00935	0.00226	0.55424	0.00111	0.02218
genuine	0.00424	0.85745	0.00607	0.00302	0.00062	0.00787	0.00767	0.01605	0.00560	0.00025	0.03228
genuinely	0.00360	0.43355	0.09601	0.00374	0.00112	0.01266	0.01620	0.00433	0.04411	0.00039	0.01445
genus	0.00059	0.99850	0.00041	0.00150	0.00021	0.00073	0.00237	0.00121	0.00059	0.00003	0.00313
geo	0.01824	0.01742	0.04399	0.00270	0.00589	0.12844	0.00674	0.00378	0.48688	0.00071	0.01820
geoff	0.00791	0.03148	0.15623	0.00936	0.00527	0.11562	0.01229	0.00869	0.16403	0.00067	0.02195
geoffrey	0.00772	0.01919	0.03312	0.00653	0.00687	0.22823	0.02161	0.00818	0.26184	0.00062	0.03264
geographer	0.00384	0.01678	0.02340	0.00400	0.00795	0.46920	0.00979	0.00281	0.19390	0.00072	0.01893
geographic	0.00492	0.97968	0.00043	0.00121	0.00039	0.00359	0.00175	0.01702	0.00130	0.00012	0.00931
geographical	0.00253	0.96681	0.00074	0.00132	0.00046	0.00825	0.00211	0.01201	0.00429	0.00017	0.02289
geographically	0.00072	0.99732	0.00024	0.00078	0.00021	0.00218	0.00071	0.00368	0.00067	0.00007	0.00498
geography	0.00744	0.03699	0.02322	0.00311	0.00597	0.36088	0.01525	0.00570	0.29841	0.00092	0.02743
geologic	0.00203	0.98594	0.00041	0.00112	0.00031	0.00319	0.00134	0.00871	0.00131	0.00011	0.01839
geological	0.00380	0.95342	0.00105	0.00132	0.00045	0.00789	0.00354	0.01247	0.00339	0.00015	0.03082
geologist	0.00341	0.65813	0.01153	0.00415	0.00196	0.05228	0.01312	0.00777	0.08399	0.00098	0.05334
geology	0.00288	0.84051	0.00549	0.00402	0.00090	0.04360	0.02229	0.00653	0.03618	0.00090	0.05693
geometric	0.00228	0.03616	0.00107	0.00388	0.00148	0.00440	0.00270	0.50822	0.00205	0.00064	0.35320
geometridae	0.00077	0.98635	0.00074	0.00299	0.00027	0.00202	0.01806	0.00204	0.00317	0.00004	0.02117
geometry	0.00453	0.01383	0.02195	0.00437	0.01043	0.13624	0.01613	0.01414	0.23881	0.00053	0.04364
georg	0.00896	0.02150	0.02862	0.00209	0.00520	0.11370	0.01125	0.00309	0.40613	0.00066	0.06815
george	0.00527	0.05121	0.08247	0.00458	0.00337	0.08473	0.04482	0.02170	0.09322	0.00161	0.07590
georges	0.01231	0.01405	0.03456	0.00367	0.00654	0.20975	0.01157	0.00535	0.35720	0.00060	0.01358
georgetown	0.00188	0.46656	0.00788	0.00813	0.00102	0.03491	0.00800	0.08404	0.01012	0.00108	0.18561
georgia	0.00171	0.93362	0.00157	0.00306	0.00063	0.00596	0.00271	0.02480	0.00251	0.00022	0.02748
georgian	0.01901	0.01059	0.00089	0.00299	0.00345	0.00205	0.00982	0.10193	0.00219	0.00042	0.43535
ger	0.00562	0.00878	0.05575	0.00577	0.00572	0.19103	0.01946	0.00729	0.21764	0.00056	0.02508
gerais	0.00393	0.00893	0.02939	0.00355	0.01151	0.26817	0.00238	0.00837	0.08090	0.00058	0.10336
gerald	0.00595	0.02665	0.04239	0.00633	0.00569	0.14082	0.02192	0.01252	0.20337	0.00082	0.05362
gerard	0.00753	0.04736	0.04347	0.00538	0.00537	0.10159	0.03137	0.01101	0.22127	0.00106	0.05180
gerhard	0.00959	0.01081	0.02799	0.00395	0.00552	0.08931	0.01022	0.00247	0.57517	0.00047	0.01585
germain	0.00429	0.03341	0.08612	0.00421	0.00386	0.09701	0.01964	0.01964	0.09506	0.00123	0.10101
german	0.01409	0.02093	0.02451	0.00196	0.00229	0.06141	0.01371	0.00319	0.59017	0.00092	0.01078
germanic	0.00299	0.70667	0.00804	0.00483	0.00081	0.01873	0.02118	0.00861	0.03422	0.00087	0.12883
germans	0.00569	0.04024	0.01309	0.00135	0.00060	0.01047	0.28113	0.00137	0.28567	0.00072	0.01137
germany	0.01646	0.02916	0.03940	0.00232	0.00318	0.17851	0.00891	0.00484	0.38847	0.00089	0.02750
gerry	0.00328	0.23250	0.11157	0.00815	0.00187	0.02742	0.01455	0.01343	0.04802	0.00076	0.03050
gertrude	0.00496	0.28954	0.02697	0.01000	0.00252	0.04681	0.04170	0.02794	0.03629	0.00169	0.18330
gesellschaft	0.00365	0.00570	0.01318	0.00624	0.00517	0.10647	0.01561	0.00071	0.67596	0.00037	0.00658
gestapo	0.00757	0.01718	0.01142	0.00099	0.00057	0.00915	0.09902	0.00078	0.59160	0.00078	0.00685
gesture	0.00543	0.13443	0.06656	0.00516	0.00296	0.03525	0.03438	0.01976	0.08976	0.00152	0.03955
gestures	0.03057	0.03465	0.04278	0.00217	0.00536	0.09569	0.00599	0.00286	0.55081	0.00085	0.01109
get	0.00371	0.42931	0.05734	0.00349	0.00133	0.01160	0.02406	0.01029	0.03060	0.00049	0.01311
gets	0.00507	0.93592	0.00121	0.00180	0.00093	0.00357	0.00670	0.03394	0.00203	0.00017	0.01249
getting	0.00522	0.16851	0.04819	0.00628	0.00438	0.07664	0.02374	0.02926	0.12174	0.00144	0.04032
gettysburg	0.00368	0.11758	0.01502	0.00686	0.00131	0.01851	0.12673	0.06817	0.02901	0.00099	0.03368
gh	0.00246	0.01690	0.01224	0.00588	0.00170	0.01149	0.46643	0.00170	0.17974	0.00072	0.03331
ghana	0.00734	0.03441	0.09479	0.00348	0.00656	0.14884	0.00535	0.00640	0.19285	0.00065	0.06568
ghanaian	0.00453	0.02005	0.06016	0.01068	0.01256	0.12986	0.00602	0.00241	0.33918	0.00046	0.01860
ghent	0.00620	0.02833	0.03635	0.00824	0.00740	0.19851	0.01597	0.00728	0.29192	0.00084	0.04875
ghetto	0.00612	0.04384	0.04607	0.00261	0.00119	0.02265	0.15869	0.00649	0.10394	0.00120	0.00855
ghost	0.00718	0.04040	0.00176	0.00111	0.00547	0.00395	0.00627	0.88836	0.00098	0.00036	0.00704
ghosts	0.01203	0.05888	0.03323	0.00739	0.00790	0.00938	0.07686	0.07860	0.01601	0.00136	0.00422
gi	0.01215	0.01149	0.01448	0.00150	0.00188	0.04809	0.02785	0.00251	0.54918	0.00103	0.00862
giacomo	0.00612	0.02052	0.00504	0.00589	0.00184	0.01348	0.02732	0.47926	0.00680	0.00063	0.03203
giant	0.00210	0.99347	0.00048	0.00149	0.00037	0.00158	0.00195	0.01055	0.00078	0.00005	0.00606
giants	0.00242	0.45433	0.04825	0.09971	0.00072	0.01137	0.00309	0.00234	0.01755	0.00016	0.00659
gibbs	0.00266	0.04313	0.06022	0.00593	0.00171	0.04570	0.01709	0.09814	0.02308	0.00074	0.14608
gibraltar	0.00233	0.50895	0.02001	0.00716	0.00197	0.02113	0.03992	0.01267	0.05901	0.00201	0.06090
gibson	0.00140	0.16807	0.00965	0.00793	0.00139	0.01837	0.00940	0.26197	0.00699	0.00055	0.03896
gift	0.00393	0.06415	0.02049	0.00434	0.00122	0.06429	0.01633	0.20406	0.02387	0.00101	0.07951
gifted	0.00183	0.79244	0.00891	0.00571	0.00064	0.01634	0.00808	0.02099	0.00952	0.00054	0.06467
gifts	0.00603	0.11502	0.06622	0.00361	0.00297	0.13506	0.01272	0.03456	0.05422	0.00147	0.12159
gig	0.00764	0.02203	0.75109	0.00635	0.00087	0.01375	0.00440	0.00151	0.00473	0.00052	0.00625
gigantic	0.00336	0.96748	0.00049	0.00150	0.00033	0.00226	0.00166	0.02550	0.00085	0.00013	0.01445
gigs	0.00618	0.00559	0.69578	0.01099	0.00166	0.13532	0.00098	0.00097	0.01087	0.00052	0.00492
gil	0.01216	0.03334	0.06440	0.00361	0.00479	0.08731	0.00981	0.00518	0.38317	0.00104	0.02271
gilan	0.00135	0.00577	0.00344	0.00208	0.00123	0.02840	0.01689	0.00037	0.85604	0.00059	0.00940
gilbert	0.00327	0.14242	0.09054	0.01288	0.00202	0.04427	0.03023	0.02891	0.04699	0.00116	0.05634
gilded	0.00302	0.03424	0.00085	0.00262	0.00126	0.00503	0.00625	0.77411	0.00156	0.00058	0.08608
giles	0.00246	0.14090	0.00172	0.00323	0.00090	0.01222	0.01302	0.43820	0.00456	0.00065	0.08358
